0	0	4907	476
1	3364	18304	293
2	5561	20195	663
3	10180	2	2
4	10193	565	289
5	12112	513	236
6	13703	2010	599
7	17730	2996	933
8	24034	2	2
9	24047	3079	1003
10	30806	1369	297
11	32841	115	76
12	33347	713	261
13	35098	982	382
14	37668	471	108
15	38390	250	144
16	39359	963	435
17	42281	1003	180
18	43511	1668	216
19	45006	271	173
20	46165	3	3
21	46186	988	686
22	50728	1375	407
23	53457	441	183
24	54682	42	33
25	54908	525	261
26	56663	2402	896
27	62702	773	86
28	63296	390	123
29	64129	507	255
30	65828	477	164
31	66938	1507	629
32	71170	297	169
33	72312	111	53
34	72670	2141	506
35	76084	2264	556
36	79825	196	135
37	80721	1983	457
38	83828	443	260
39	85584	425	171
40	86715	271	171
41	87859	309	71
42	88350	10	7
43	88395	441	223
44	89871	4	4
45	89899	190	87
46	90472	1514	669
47	94988	310	136
48	95907	177	102
49	96592	58	36
50	96829	117	74
51	97329	3552	898
52	103359	102	72
53	103841	449	235
54	105413	728	220
55	106893	31	28
56	107083	841	380
57	109630	345	140
58	110571	676	315
59	112686	1961	519
60	116199	1681	840
61	121786	604	130
62	122653	192	97
63	123311	381	122
64	124136	1759	400
65	126821	1413	287
66	128793	974	297
67	130812	448	161
68	131904	59	39
69	132159	5	5
70	132191	3290	542
71	135813	3058	1218
72	143970	574	274
73	145793	54	34
74	146017	453	191
75	147275	2	2
76	147289	2382	746
77	152324	439	204
78	153691	5329	1317
79	162589	1024	456
80	165646	556	180
81	166861	281	195
82	168159	102	75
83	168649	1234	433
84	171550	14	12
85	171628	918	333
86	173865	617	331
87	176090	55	13
88	176180	1184	515
89	179625	1414	496
90	183023	56	48
91	183344	2889	1111
92	190825	288	199
93	192153	37	30
94	192356	716	301
95	194386	828	270
96	196207	154	112
97	196954	170	89
98	197554	17	12
99	197637	2130	522
100	201189	1220	423
101	204030	46	37
102	204278	93	55
103	204654	620	255
104	206361	361	143
105	207316	4739	1359
106	216482	1230	493
107	219794	342	232
108	221353	365	189
109	222631	2431	303
110	224655	9	9
111	224719	1090	388
112	227317	447	213
113	228744	3027	530
114	232388	476	260
115	234116	3	3
116	234138	326	185
117	235367	72	38
118	235620	481	228
119	237144	2175	529
120	240682	1036	381
121	243231	1185	177
122	244414	75	52
123	244759	148	75
124	245258	1585	626
125	249452	3540	967
126	255969	449	206
127	257337	642	187
128	258602	131	76
129	259103	331	151
130	260112	20	15
131	260214	1510	193
132	261553	1537	640
133	265826	582	277
134	267675	1127	404
135	270347	1570	1017
136	277151	2399	1018
137	283968	3935	1452
138	293677	2924	1867
139	306197	284	181
140	307406	1263	569
141	311258	771	323
142	313435	1066	389
143	316039	781	328
144	318252	280	163
145	319348	1016	423
146	322228	2479	915
147	328474	1098	430
148	331383	962	459
149	334493	684	331
150	336730	7	7
151	336779	61	29
152	336976	3	1
153	336984	1	1
154	336992	3413	1004
155	343761	2474	687
156	348350	1412	691
157	352977	191	139
158	353905	604	222
159	355393	1181	535
160	359027	1362	679
161	363573	892	451
162	366640	1748	611
163	370728	214	104
164	371431	215	151
165	372455	436	271
166	374267	4383	930
167	380640	4961	941
168	387058	28	23
169	387214	3212	1443
170	396926	787	429
171	399817	616	267
172	401616	411	175
173	402789	495	200
174	404073	14	10
175	404143	338	155
176	405193	514	283
177	407093	99	45
178	407402	1626	360
179	409811	1476	297
180	411831	295	197
181	413140	1152	591
182	417113	1639	928
183	423359	5285	978
184	430013	212	153
185	431048	93	60
186	431458	1401	561
187	435212	1378	710
188	439931	14	14
189	440027	10128	1307
190	449090	3307	1439
191	458723	1440	1005
192	465403	3275	897
193	471422	1552	293
194	473427	1	1
195	473435	2690	1071
196	480613	2180	671
197	485159	1118	400
198	487885	4248	767
199	493066	2261	759
200	498105	2057	439
201	501020	601	357
202	503407	1837	691
203	508022	481	223
204	509526	6	1
205	509534	242	123
206	510375	404	214
207	511852	833	308
208	513923	4684	2071
209	527864	972	585
210	531788	928	493
211	535149	2223	735
212	540085	1064	530
213	543610	452	202
214	544957	542	343
215	547260	2158	726
216	552141	720	178
217	553354	1618	690
218	558018	1527	299
219	560014	447	138
220	560943	3406	1059
221	568084	679	283
222	569973	3763	384
223	572589	215	151
224	573586	1876	659
225	577982	2045	391
226	580624	3013	959
227	587069	1350	581
228	590962	7461	1610
229	601780	1705	454
230	604836	68	38
231	605093	3	2
232	605108	2147	403
233	607838	660	261
234	609591	124	79
235	610124	300	103
236	610820	223	82
237	611377	117	18
238	611504	1728	439
239	614481	3456	693
240	619234	121	47
241	619547	390	198
242	620866	1255	493
243	624194	117	41
244	624469	22	18
245	624590	202	59
246	624991	158	81
247	625526	202	95
248	626173	2120	712
249	630946	134	69
250	631403	1305	330
251	633629	832	411
252	636387	130	59
253	636788	1877	423
254	639661	283	180
255	640850	179	142
256	641800	339	108
257	642540	1399	493
258	645858	273	126
259	646706	78	64
260	647135	1	1
261	647143	1044	382
262	649721	1267	518
263	653187	5811	1187
264	661237	328	109
265	661968	537	115
266	662753	114	42
267	663037	177	109
268	663766	292	147
269	664758	471	217
270	666198	20	13
271	666286	1435	434
272	669221	222	97
273	669873	1312	457
274	672918	269	186
275	674166	1625	482
276	677435	899	337
277	679743	209	127
278	680589	219	76
279	681098	322	199
280	682441	111	58
281	682816	1210	438
282	685762	253	160
283	686848	134	36
284	687095	37	31
285	687305	62	43
286	687589	9	7
287	687636	1055	520
288	691121	12	10
289	691187	499	230
290	692733	102	61
291	693148	91	44
292	693446	12	9
293	693510	651	381
294	696071	85	42
295	696355	78	26
296	696537	296	75
297	697051	2051	694
298	701700	2388	1012
299	708520	26	21
300	708662	32	26
301	708835	99	38
302	709087	304	144
303	710056	26	19
304	710181	117	24
305	710343	10	7
306	710390	1600	785
307	715632	1828	606
308	719699	608	322
309	721839	4	3
310	721861	139	74
311	722356	2818	579
312	726268	3586	980
313	732889	364	240
314	734500	15528	2027
315	748312	456	323
316	750472	2523	876
317	756346	2405	470
318	759514	3512	956
319	765961	492	322
320	768106	1	1
321	768114	2042	382
322	770714	293	199
323	772071	1366	374
324	774615	1411	1054
325	781636	10	3
326	781657	692	315
327	783784	348	173
328	784954	1186	474
329	788158	1533	505
330	791558	1268	206
331	792945	97	62
332	793364	23017	424
333	796417	59	41
334	796686	50	20
335	796815	639	25
336	796984	310	107
337	797704	2102	304
338	799789	169	86
339	800379	751	373
340	802911	448	161
341	803992	70	55
342	804354	1458	665
343	808791	561	234
344	810401	80	35
345	810639	6	5
346	810673	2499	656
347	815053	2074	585
348	818989	5540	312
349	821125	4337	142
350	822096	1097	225
351	823610	173	133
352	824498	364	147
353	825481	32	12
354	825559	1020	368
355	828059	489	200
356	829375	53	39
357	829637	229	88
358	830214	373	204
359	831585	1863	527
360	835132	387	81
361	835676	364	54
362	836049	167	96
363	836702	18	10
364	836770	769	250
365	838453	1680	608
366	842537	208	101
367	843212	1326	529
368	846778	599	322
369	848935	3469	966
370	855430	420	245
371	857062	5154	869
372	862915	2345	599
373	866961	1864	570
374	870789	5703	955
375	877412	2	2
376	877425	234	75
377	877932	633	336
378	880194	777	445
379	883214	8	5
380	883248	148	41
381	883539	338	154
382	884565	753	357
383	886980	1039	213
384	888432	326	226
385	889948	662	330
386	892152	771	441
387	895101	4	1
388	895109	508	265
389	896869	1586	486
390	900126	1629	524
391	903588	6128	1011
392	910443	338	210
393	911853	1446	453
394	914913	161	123
395	915757	1384	333
396	917985	1734	673
397	922514	1134	196
398	923855	735	394
399	926451	55	44
400	926748	37	23
401	926899	31	28
402	927090	2667	519
403	930625	436	243
404	932253	1952	754
405	937383	2764	914
406	943545	1084	436
407	946458	26	23
408	946612	16	12
409	946692	2269	701
410	951436	2204	579
411	955336	421	267
412	957105	2233	279
413	959016	4385	1021
414	965890	1132	229
415	967438	1480	728
416	972322	1	1
417	972330	2506	1108
418	979800	1572	154
419	980839	1034	425
420	983700	1105	533
421	987271	301	185
422	988504	1909	833
423	994108	4010	652
424	998523	57	21
425	998665	3105	774
426	1003927	5069	1074
427	1011202	8563	1086
428	1018733	613	337
429	1020996	220	96
430	1021624	67	40
431	1021892	1642	588
432	1025814	436	171
433	1026966	601	380
434	1029489	3066	1078
435	1036751	63	52
436	1037098	1365	460
437	1040224	65	55
438	1040598	2278	721
439	1045464	71	27
440	1045649	11	8
441	1045704	69	33
442	1045929	70	49
443	1046262	8	6
444	1046303	14	11
445	1046375	134	93
446	1047011	6	3
447	1047033	252	139
448	1047978	1307	572
449	1051808	16	15
450	1051910	1467	569
451	1055715	116	60
452	1056120	2249	878
453	1062075	43	27
454	1062262	146	101
455	1062946	466	142
456	1063911	431	211
457	1065339	50	30
458	1065539	4	4
459	1065566	36	18
460	1065690	6	6
461	1065731	1290	517
462	1069223	149	60
463	1069631	83	61
464	1070043	79	67
465	1070503	139	59
466	1070903	117	79
467	1071440	287	187
468	1072705	3926	869
469	1078528	184	54
470	1078896	3502	494
471	1082212	411	152
472	1083242	253	166
473	1084362	3090	495
474	1087688	974	295
475	1089660	39	27
476	1089839	792	280
477	1091712	1806	626
478	1095925	206	88
479	1096506	2040	363
480	1098957	259	95
481	1099596	122	69
482	1100057	424	127
483	1100914	1211	485
484	1104152	1810	525
485	1107685	445	235
486	1109278	737	312
487	1111413	58	25
488	1111585	8	6
489	1111627	288	113
490	1112384	415	151
491	1113412	505	282
492	1115310	915	305
493	1117353	36	22
494	1117502	35	16
495	1117614	54	34
496	1117845	11	6
497	1117886	120	51
498	1118235	786	434
499	1121127	625	296
500	1123116	32	29
501	1123310	265	149
502	1124314	490	262
503	1126080	162	84
504	1126637	21	16
505	1126746	74	27
506	1126931	705	272
507	1128764	672	378
508	1131297	104	43
509	1131587	337	165
510	1132695	658	219
511	1134180	40	22
512	1134333	1050	459
513	1137413	63	44
514	1137711	30	25
515	1137882	1918	639
516	1142160	1486	531
517	1145735	786	408
518	1148476	721	339
519	1150754	1245	445
520	1153741	1542	399
521	1156441	951	450
522	1159462	852	169
523	1160611	1246	480
524	1163839	263	134
525	1164736	111	54
526	1165101	532	107
527	1165832	1195	431
528	1168712	21	12
529	1168794	1603	223
530	1170355	55	31
531	1170565	337	129
532	1171430	10737	843
533	1177188	826	270
534	1179007	521	288
535	1180922	1882	290
